SiteNumber,Upscaling Factor,Control Metric (m),Time (s),Nb Simu Per Hour
17,75,0.086416666848223,1403,2.56593014967926
17,90,0.106729586595059,1449,2.48447204968944
17,100,0.109728344918042,1230,2.92682926829268
17,125,0.136039538309326,1172,3.07167235494881
17,150,0.153005215871739,1056,3.40909090909091
17,182,0.19677035049009,883,4.07701019252548
17,200,0.179489029304838,854,4.21545667447307
17,250,0.220885039062601,645,5.58139534883721
17,300,0.235479689088935,469,7.67590618336887
17,330,0.233898133265058,429,8.39160839160839
17,365,0.233553332587307,512,7.03125
17,550,0.279739091050603,294,12.2448979591837
17,640,0.272474435430279,214,16.8224299065421
17,730,0.29455315204539,279,12.9032258064516
17,1000,0.287949745823994,201,17.910447761194
17,1500,0.313629342116683,149,24.1610738255034
17,2000,0.35737394615816,115,31.304347826087
17,2250,0.339315941595678,90,40
17,3000,0.385535287772176,60,60
17,3182,0.374554172643929,61,59.016393442623
17,3652,0.360705584925762,66,54.5454545454546
18,1,0,1986,1.81268882175227
18,2,0.0016343316961933,1107,3.2520325203252
18,7,0.005121275722781,498,7.2289156626506
18,15,0.0083868069408391,251,14.3426294820717
18,21,0.0103401025068759,222,16.2162162162162
18,30,0.013022431319224,263,13.6882129277567
18,45,0.0176016239315654,176,20.4545454545455
18,50,0.0184301129076335,172,20.9302325581395
18,60,0.0207932237891045,160,22.5
18,75,0.0236715852474286,143,25.1748251748252
18,90,0.0274766933281444,181,19.8895027624309
18,100,0.0298563797653111,128,28.125
18,125,0.0342707370975021,115,31.304347826087
18,150,0.0371139385256656,102,35.2941176470588
18,182,0.0455999859724022,100,36
18,200,0.0415799956325019,78,46.1538461538462
18,250,0.0465683986285258,56,64.2857142857143
18,300,0.0475726521968069,46,78.2608695652174
18,330,0.0475380767596782,36,100
18,365,0.0481160170316837,50,72
18,550,0.0489711306387264,26,138.461538461538
18,640,0.0492713675456951,20,180
18,730,0.0497953805544372,27,133.333333333333
18,1000,0.0496331938629077,18,200
18,1500,0.0507208499426089,15,240
18,2000,0.0510039715036726,12,300
18,2250,0.0509764643146258,9,400
18,3000,0.0517286126819821,6,600
18,3182,0.0517182968701426,6,600
18,3652,0.0515095706017609,5,720
19,1,0,8436,0.42674253200569
19,2,0.0072548607901231,5258,0.684670977558007
19,7,0.0313874267323508,2866,1.25610607117934
19,15,0.0510183289905755,1753,2.05362236166572
19,21,0.064328608386753,1551,2.321083172147
19,30,0.0866235149493999,1682,2.14030915576694
19,45,0.119457455032949,1215,2.96296296296296
19,50,0.131361347233388,1144,3.14685314685315
19,60,0.152162987955307,1130,3.1858407079646
19,75,0.170176506890026,1011,3.56083086053412
19,90,0.201903996905567,1212,2.97029702970297
19,100,0.212525893222096,893,4.03135498320269
